UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS
1808,올바릇식당 본점,기장군,35.282795,129.25926,올바릇 본점,올바릇 본점,,기장군 일광읍 문오성길61,,070-8845-7277,,11:00-16:00 / 17:00-20:00,"꼬막대판 ￦38,000
꼬막육전대판 ￦37,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416142348310_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416142348310_thumbL,"하루 1,000여명이 방문한다고 하는 인기 높은 식당. 
국내산 재료만을 사용한 특제소스로 만든 꼬막비빔밥, 육전 등을 이색적인 플레이팅으로 담아낸다. 방문 시 웨이팅은 필수.
"
1809,알천순대곱창전골전문점,남구,35.138542,129.1047,알천순대곱창전골전문점,알천순대곱창전골전문점,,남구 용소로 7번길 88,,051-612-5952,,"11:00-15:00 / 16:00-21:20
(20:40 라스트오더)","순대곱창전골(1인분) - 2인이상 주문 ￦15,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416152751004_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416152751004_thumbL,"직접공수한 재료들로 직접 만드는 순대와 직접 손질한 곱창 등 모든 과정이 정성스럽다. 
진한 육수와 부드러운 맛으로 대학생부터 중장년층까지 다양하게 찾아오는 곳이다.
"
1813,배종관동래삼계탕,동래구,35.20526,129.08475,배종관동래삼계탕,배종관동래삼계탕,,동래구 동래로 116번길 39,,051-555-2464,,11:00-15:00 / 17:00-20:30,"동래삼계탕 ￦18,000
궁중약계탕 ￦20,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417101857747_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417101857747_thumbL,"파채가 듬뿍 올라간 것이 특징인 이곳의 삼계탕은, 30년 전통이 만들어낸 비법 사골육수를 사용하여 냄새 없이 담백한 맛을 자랑한다. 
많은 사람들이 찾는 만큼 웨이팅이 필수인 곳이다.
"
1814,신가네 호떡 김밥 떡볶이,동래구,35.204052,129.08676,신가네 호떡 김밥 떡볶이,신가네 호떡 김밥 떡볶이,,동래구 충렬대로 249번길 61,,051-552-2644,,06:00-22:00,"찹쌀호떡 ￦1,000
김밥 ￦3,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417103903563_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417103903563_thumbL,"동래시장에서 26여 년을 영업 중인 분식점으로 남녀노소, 내·외국인 구분 없이 많은 사람들이 찾는 곳이다. 우엉 등의 김밥재료는 국내산만 사용한다고 한다.
"
1817,기장손칼국수,부산진구,35.15566,129.05814,기장손칼국수,기장손칼국수,,부산진구 서면로 56,,051-806-6832,,09:00-21:00,"손칼국수, 김밥",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417130710913_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417130710913_thumbL,"손으로 직접반죽해 만드는 칼국수로 유명한 칼국수전문점으로 진한 멸치육수에 직접 만든 양념과 다진 마늘 등을 올려먹는 것이 특징이다.
"
1818,두번째 늘해랑,부산진구,35.17058,129.07031,두번째 늘해랑,두번째 늘해랑,,부산진구 양지로 5번길 24,,051-867-5382,,10:00-21:00,"수육백반 ￦12,000
돼지국밥 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417134039028_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417134039028_thumbL,"수육백반으로 유명한 늘해랑의 두 번째 가게로 매일 수제로 찹쌀순대를 만들고 국내산 고기, 야채, 김치를 사용한다. 수육과 함께 제공되는 식해가 특징이다.
"
1825,골목포차,수영구,35.159405,129.11446,골목포차,골목포차,,수영구 광안로7번길 52,,051-756-3988,,"15:00-24:00
(23:00 라스트오더)","LA갈비, 골포무침",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418095202742_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418095202742_thumbL,"엄마가 차려준 술상이라는 문구가 재미있는 이곳은 왁자지껄 즐거운 분위기의 주점으로 다양한 메뉴를 가지고 있다.
매일 다양한 연령층이 웨이팅을 감수하고 찾아오고 있다.
"
1837,재기돼지국밥,영도구,35.08963,129.03987,재기돼지국밥,재기돼지국밥,,영도구 절영로 49번길 25,,051-418-0526,,08:00-21:00 재료소진시 마감,"돼지국밥 ￦10,000
모듬수육 ￦25,000-35,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418143354206_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418143354206_thumbL,"55년을 운영해온 영도 남항시장의 유명한 돼지국밥전문점으로 전통적인 토렴방식으로 뜨겁게 나오는 돼지국밥에는 고기 이외에 여러 부위를 취향에 맞게 주문할 수 있다.
"
1846,소공간,해운대구,35.16169,129.16737,소공간,소공간,,"해운대구 해운대해변로 298번길 47, 4층",,010-5191-9002,,12:00-15:00 / 18:00-21:30,"Dinner(11 course) ￦182,000
Lunch(8 course) ￦92,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419164740169_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419164740169_thumbL,"작은 공간(小空間)과 소(牛)를 다루는 솜씨라는 의미의 소공간은 한우(1++)를 메인으로 당일 공수한 지역 색 가득한 제철 식재료의 조화로운 구성이 돋보이는 한식 다이닝이다.
"
2324,백가백반,남구,35.13379,129.11293,백가백반,백가백반,,"남구 분포로 145, W스퀘어 상가동 2층 2097호",,051-711-0211,,10:30-15:30 / 16:30-21:00,"생선구이정식 ￦10,900
해물뚝배기 ￦12,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408092958955_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408092958955_thumbL,"한식을 기본으로 한 집밥스타일의 백반집으로 정갈한 상차림을 선보인다. 잘 구워진 생선구이가 인기있는 이곳은 모든 반찬을 직접 만들고 메인메뉴는 주문 후 바로 조리되어 나온다.
"
2326,가야포차선지국밥 본점,부산진구,35.14817,129.0299,가야포차선지국밥 본점,가야포차선지국밥 본점,,부산진구 가야공원로 58,,051-894-6921,,00:00-24:00,"수구레국밥 ￦9,000
선지국밥 ￦8,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408094027003_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408094027003_thumbL,"24시간 영업으로 30여 년을 운영해오고 있는 이곳에서는 수구레국밥 등 쉽게 찾기 힘든 수구레요리를 만날 수 있다. 16시 이후로는 술과 곁들일 수 있는 요리를 주문할 수 있는 편안한 가게이다.
"
2334,못난이식당 해운대점,해운대구,35.154926,129.1445,못난이식당 해운대점,못난이식당 해운대점,,"해운대구 마린시티1로 91, 101동 201호",,0507-1418-2528,,11:00-15:00 / 17:00-19:30,"갈치구이 ￦43,000
갈치찌개 ￦43,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408100308119_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408100308119_thumbL,"큼직한 제주산 갈치를 사용하는 갈치요리전문점으로, 신선도가 중요한 갈치회무침을 만날 수 있다. 늙은호박을 사용해서 단맛을 내는 건강한 음식을 만들고 있다.
"
2336,손내향미,부산진구,35.153034,129.06851,손내향미,손내향미,,부산진구 동성로 30번길 4,,051-715-4648,,12:00-16:00 / 17:30-20:00,"갈비솥밥 ￦30,000
여포하이볼 ￦12,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408100525344_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408100525344_thumbL,"눈 앞에서는 솥밥을 짓는 모습이 보이고 화로에서 굽히는 목포식갈비의 향이 공간을 채운다. 오롯이 식사에 집중할 수 있는 이 공간에 20여 분간 기다린 목포식 갈비솥밥이 차려진다.
"
2339,수블,해운대구,35.159527,129.17055,수블,수블,,"해운대구 달맞이길 62번길 19, 2층",,0507-1411-0178,,17:00-23:00,"차돌떡볶이 ￦15,000
생참치김밥 ￦29,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408103219387_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408103219387_thumbL,"자신이 먹고 싶은 것을 메뉴로 하고, 마시고 싶은것들을 판다고 하는 이 곳은 아름다운 풍경과 함께 수준 높은 요리로 인기 높은 요리주점이다. 청결하게 관리되고 있는 오픈키친이 인상적이다.
"
2345,1969부원동칼국수 부산본점,중구,35.097927,129.03316,1969부원동칼국수 부산본점,1969부원동칼국수 부산본점,,중구 구덕로22번길3 1층,,0507-1477-9925,,11:00-19:30,"부원칼국수 ￦9,000
비빔칼국수 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408112548429_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408112548429_thumbL,"신선도를 유지하기 위해 매일 아침 경매된 식재료를 공수하여 재료소진 시까지 한정 판매하고 있는곳으로 신선한 굴과 가리비가 듬뿍 올려진 칼국수를 만날 수 있다. 18시쯤 재료가 소진되는 경우가 많다고 한다.
"
2347,동삼정,중구,35.10059,129.03143,동삼정,동삼정,,중구 광복중앙로 14-62 1층,,051-912-8343,,18:00-23:50,"한우육회 타르타르 ￦25,000
동삼정김밥 ￦10,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408113919836_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408113919836_thumbL,"깔끔한 공간에서 서양식 조리법으로 만든 독특한 한식 창작요리를 만날 수 있는 이 곳은 계절마다 제철음식을 사용하여 다양한 술과 어울리는 음식이 기다리고 있는 한식주점이다.
"
2352,삼락하동재첩국,사상구,35.193256,128.98576,삼락하동재첩국,삼락하동재첩국,,사상구 낙동대로1518번길 33,,051-301-7200,,05:00-21:30,"재첩국 정식 ￦8,000
재접회 ￦10,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408120120580_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408120120580_thumbL,"재첩국 전문 식당이 모여 있는 이 지역에서도 인기 있는 재첩국 전문점으로, 섬진강의 국산 재첩만을 사용하여, 소금물에 담가 해감을 하고, 수차례 깨끗이 씻은 다음 끓인 국물은 간과 위의 건강에 도움이 된다고 한다. 이곳은 재첩을 회와 찜으로 새롭게 연구하여 재첩 요리를 정착시킨 곳이기도 하다.
"
2356,남천면가,수영구,35.139626,129.10675,남천면가,남천면가,,수영구 황령대로473번길 14-2,,0507-1349-1631,,11:00-20:00,"들기름메밀면 ￦9,500
남천소바 ￦10,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408131231343_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408131231343_thumbL,"국내산 메밀을 사용하여 매일 직접 반죽하고 뽑는 메밀면을 제공하고 있는 곳으로, 건강한 음식을 대접하고 싶은 마음으로 음식 한 그릇마다 많은 정성과 시간을 담아 내놓는다고 한다.
"
2357,닭발의 지존,수영구,35.170143,129.11069,닭발의 지존,닭발의 지존,,수영구 연수로 374,,051-865-8449,,16:00-24:00,"닭발 ￦15,000-21,000
조개탕 ￦15,000-21,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408131658485_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408131658485_thumbL,"40여 년을 닭발과 조개탕만 만들어 온 전통있는 닭발전문점으로 매콤한 수제양념의 닭발과 시원한 국물의 조개탕이 무척 잘 어울리는 조합이다. 오랜시간 많은 사람들에게 사랑받아온 가게이다. 
"
2359,백일평냉,수영구,35.148556,129.11166,백일평냉,백일평냉,,"수영구 남천바다로10번길 29, 1층",,051-625-5515,,11:30-15:30 / 17:00-19:00,"평양냉면 ￦13,000
비빔냉면 ￦13,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408132935773_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408132935773_thumbL,"전통의 맛과 냉면 기술자들의 고집으로, 오직 고깃국물과 소금으로만 만들어진 육수와 80% 함량의 메밀면으로 만든 제대로 된 평양냉면을 완성하였다. 수제 이북 만둣국, 한우 불고기 등의 메뉴도 준비되어 있다.
"
2365,자매국밥,수영구,35.158283,129.12569,자매국밥,자매국밥,,수영구 민락본동로27번길 56,,051-752-1912,,10:00-21:00,"수육한접시 ￦10,000
돼지국밥 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408142939682_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408142939682_thumbL,"30여 년을 운영해온 곳으로 매일 새 머릿고기로 우려낸 육수를 사용하여 지역민들에게 사랑받아 온 골목식당이다. 된장베이스의 양념으로 진하고 강한 맛이 특징이다.
"
2367,청산1954,수영구,35.148266,129.10788,청산1954,청산1954,,수영구 황령산로 29,,051-622-1954,,11:00-15:30 / 17:00-20:50,"편백낙지보쌈(1人) ￦23,000
오독낙지볶음(1人) ￦14,500",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408144017778_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408144017778_thumbL,"12가지 한약재로 삶은 후 편백나무에 쪄낸 한방보쌈을 576시간 수경재배로 직접 키운 새싹쌈과 함께 제공하고 있는 곳이다. 1968년 지어진 목조건물이 재생건축을 통해 재탄생한 곳이기도 하다.
"
2379,대성갈치찌개구이,기장군,35.2239,129.23161,대성갈치찌개구이,대성갈치찌개구이,,기장군 기장읍 대변2길 9,,051-721-2289,,11:00-20:30 ,"갈치찌개 1인분 ￦43,000
갈치구이 1인분 ￦43,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250516132502489_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250516132502489_thumbL,"갈치찌개와 구이, 멸치회와 찌개가 맛있는 대변항 인근 식당으로 로컬 단골고객이 많은 식당. 신선한 생멸치와 제주산 생갈치를 사용하여 볼륨감 있고 부드러운 맛이 특징이다.
"
242,신발원,동구,35.114815,129.03873,신발원,신발원,,부산 동구 대영로243번길62,,051-467-0177,,11:00 ~ 21:00,"고기만두 ₩4,500
군만두 ₩5,300",https://www.visitbusan.net/uploadImgs/files/cntnts/20191220111654951_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191220111654951_thumbL,"부산차이나타운의 양대 만두전문점 중 하나인 유명한 식당으로, 시간과 관계없이 길게 줄이 서있는 곳이다. 중국빵과 만두를 전문으로 하는 이 곳의 만두는 두께감이 느껴지는 푹신한 만두피와 풍부한 육즙의 고기만두가 대표음식이다.

"
928,북경,연제구,35.18377,129.08086,북경,북경,,"부산 연제구 중앙대로 1076번길 11
",,051-863-0055,,"am 11:00 ~ pm 21:00
15:00~17:00 (Break time)
20:20 (Last order)","짜장면, 짬뽕
",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172514790_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172514790_thumbL,"연산동의 중심가골목에 위치한 중식당으로 요리를 전문으로 하여 이 지역 회사원들이 회식장소로도 자주 찾는 곳이다. 모든 메뉴의 수준이 높은 곳이기도 하지만, 특히 짜장면이 맛있기로 유명하다.

"
949,북경의자전거,북구,35.230934,129.00957,북경의 자전거,북경의 자전거,,부산광역시 북구 용당로5번길 14,,051-902-8282,,"11:30-22:30
(21:30 라스트 오더)","짜장면, 탕수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091146813_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091146813_thumbL,"본격적인 중국풍의 인테리어가 특색있는 이 중식당은 중국인 쉐프들이 요리하고 있는 것으로 유명하다. 사용되는 면은 전통방식인 수타로 만들고, 다양하고 많은 종류의 요리들을 만드는 단골 손님이 많은 가게이다.

"
965,편의방,서구,35.11915,129.01625,편의방,편의방,,"서구 대신공원로 13-5
",,051-256-2121,,11:00-15:30 / 16:30-21:00,"삼선만두 ￦10,500
군만두 ￦8,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418091306849_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418091306849_thumbL,"빨간 간판이 눈에 띄는 이곳은 3대째 이어오는 중국만두전문점으로, 
하루에 40인분 한정에, 30분 전에 미리 전화로 주문해야 한다는 삼선만두가 유명한 곳이다.
주문과 동시에 만드는 삼선만두는 각종야채와 새우가 가득 차 육즙이 흘러넘친다.
"
1121,신흥반점,서구,35.09595,129.02463,신흥반점,신흥반점,,서구 충무대로 284-1,,051-242-6164,,"월-토 : 11:00-20:00
(13:50-16:00 브레이크 타임)
(19:30 라스트 오더)","짬뽕, 자장면, 깐풍기, 삼선볶음밥",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913133410983_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913133410983_thumbL,"2대째 운영 중인 신흥반점은 서구에서 55년 동안 화교 가족들이 운영해오고 있는 곳으로, 중국 현지의 식당 같은 분위기의 가게에서 다양한 중국요리를 맛 볼 수 있다. 짬뽕국물과 깐풍기가 이 곳에서 추천하는 인기 메뉴이다.
"
1227,화국반점,중구,35.10253,129.0342,화국반점,화국반점,,중구 백산길3 ,,051-245-5305,,11:30-15:30 / 17:00-21:30,"탕수육, 간짜장",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602160354975_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602160354975_thumbL,"43년 전통의 중식전문점으로 간짜장이 특히 유명한 이곳은, 전통적인 방식의 요리로 외국인들이 많이 찾는 곳이기도 하다. 신세계와 범죄와의 전쟁 등 영화촬영지로도 유명하다.
"
1262,홍성방 본점,동구,35.113834,129.03781,홍성방 본점,홍성방,,동구 중앙대로 179번길 16,,051-467-5398,,11:00-15:00 / 17:00-21:30,"물만두 ￦8,000 / 10,000
오향장육 ￦30,000 / 40,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416173708292_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416173708292_thumbL,"3대에 걸쳐 50년이 넘게 운영해오고 있는 이곳은, 부산차이나타운에서도 가장 유명한 식당 중 한 곳이다. 오래전부터 영주동 물만두집으로 불렸을 만큼 물만두가 인기 있으며, 주말에는 지방에서도 찾아오는 단골손님들이 많다.
"
1265,미미루,동래구,35.219486,129.08296,미미루,미미루,,온천장로 91-1,,051-555-6609,,11:30-15:00 / 17:00-21:00,"짜장면 ￦7,000
탕수육 ￦23,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417100446762_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417100446762_thumbL,"스타일리시한 중화요리로 인기 높은 이곳은 보통의 중식전문점에서 쉽게 만날 수 없는 다양한 중화요리를 만날 수 있다. 식사시간은 웨이팅이 필수인 곳이기도 하다.
"
1278,금용만두,북구,35.205463,128.99666,금용만두,금용만두,,구포만세길 75,,051-332-1261,,"월-일 : 10:30-20:30
","찐만두 ￦8,000
군만두 ￦8,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417154726545_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417154726545_thumbL,"1960년부터 운영해온 중국만두전문점으로 찐돼지껍질과 사태, 소꼬리 살로 소를 만드는 산둥식 만두를 만들고 있다. 준비해둔 재료가 언제나 당일 소진이 될 정도로 인기가 높다.
"
1480,굿모닝홍콩,부산진구,35.158752,129.06444,굿모닝홍콩,굿모닝홍콩,,부산진구 서전로 47번길 19 1층,,0507-1334-3724,,"화-금 11:30-20:00
(19:00 라스트오더)
토-일 11:30-18:00
(17:00 라스트오더)","탄탄면, 토닭볶",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602142611057_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602142611057_thumbL,"홍콩인들이 아침식사를 한다는 차찬텡 컨셉의 식당으로, 식사와 디저트가 함께 준비되어 있는 곳이다. 한국인의 입맛에 맞춘 적당한 향신료로 부담 없이 먹을 수 있는 것이 특징이다.
"
1482,반핀 서면전포점,부산진구,35.15839,129.06279,반핀 서면전포점,반핀 서면전포점,,부산진구 동천로 108번길 9,,0507-1498-6223,,"평일 11:30-16:00 / 17:00-21:00
(15:00 라스트오더)
주말 11:15-16:00 / 17:00-21:00
(15:00 라스트오더)
","차슈덮밥, 마파두부",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602143250533_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602143250533_thumbL,"대만음식을 베이스로한 캐주얼한 메뉴로 젊은 층에 인기 높은 이 곳은 비장탄 숯불을 사용한 덮밥이 인기메뉴이다. 간단한 요리메뉴도 있어 식사나 맥주와도 잘 어울린다.
"
1483,복성반점,사하구,35.103638,128.96245,복성반점,복성반점,,사하구 하신중앙로 289,,051-291-7834,,"10:30-21:00
(19:50 라스트오더)","짬뽕, 탕수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20240417164934040_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417164934040_thumbL,"50여 년간 2대를 이어 운영하고 있는 전통 있는 중식당으로, 유명 TV쇼에 출연하며 더욱 많은 사람들이 찾고 있다. 해산물과 양파가 푸짐하게 올라간 짬뽕이 이곳의 대표메뉴.
"
1485,부우사안,해운대구,35.160133,129.1545,부우사안,부우사안,,해운대구 해운대해변로209번나길 16,,051-741-3310,,"11:30-15:00 / 17:00-22:00
(21:10 라스트오더)","당일 예약 베이징덕, 런치세트B",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145152107_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145152107_thumbL,"베이징덕으로 유명한 정통중식당으로 조금 특별한 날에 특별한 메뉴를 찾는 사람에게 권할만한 곳이다. 카빙 전 베이징덕을 먼저 보여주고 먹을 수 있게 장만해 주는 것이 재미있다.
"
1487,산동완탕교자관,동구,35.119602,129.04268,산동완탕교자관,산동완탕교자관,,동구 중앙대로296번길 11,,070-8240-2385,,11:00-22:00,"가지요리, 마파두부",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145733245_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602145733245_thumbL,"중국인이 운영하고 있는 이곳은 중국에 있는 식당이 그대로 위치만 옮긴 것 같은 느낌을 준다. 만두를 전문으로 하고 낯선 메뉴와 현지화 되지 않은 중국 본토의 맛을 경험할 수 있는 특별한 식당이다.
"
1488,삼형제오리 부산1호점,영도구,35.09349,129.03928,삼형제오리 부산1호점,삼형제오리 부산1호점,,영도구 태종로 73번길 23,,051-417-7043,,17:00-23:00,"양꼬치 2인, 오리바베큐",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602150346849_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602150346849_thumbL,"중국 현지 북경오리 프랜차이즈의 국내 유일 지점으로 숯불에 구운 오리바베큐가 대표메뉴지만, 양갈비살로 만든 양꼬치도 인기 있다. 오리바베큐를 먹기 위해선 예약이 필수다.
"
1489,동광동 석기시대 본점,중구,35.106155,129.03487,동광동 석기시대 본점,석기시대,,중구 동광길 75-1,,010-2334-0358,,15:00-21:00,"오향장육 ￦19,000 / 25,000
군만두 ￦6,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419105032027_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419105032027_thumbL,"1987년에 개업한 중국만두전문점으로 맛과 품질에 비해 저렴한 가격의 만두와 오향장육을 만날 수 있다. 가볍게 술 마시기 좋은 곳으로 많은 단골손님이 찾아오는 가게이다.
"
1491,칸웨이,강서구,35.08141,128.90326,칸웨이,칸웨이,,강서구 명지오션시티4로 84 9층,,0507-1308-7173,,"11:00-15:00 / 17:00-22:00
(20:30 라스트오더)","요리코스1, 돼지고기탕수육",https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153447605_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602153447605_thumbL,"롯데호텔 중식당과 한식당의 책임자로 각종 국제행사를 책임지던 대표가 선보이는 고급 중식레스토랑이다. 가족외식하기 좋으며, 중식코스 요리가 대표메뉴이다.
"
1810,태화반점,남구,35.13219,129.11273,태화반점,태화반점,,남구 분포로 115 힐탑탑플레이스 B동 109호,,051-611-6799,,17:00-24:00,"광동식탕수육 ￦22,000
사천식 마파두부 ￦13,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240416153901728_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416153901728_thumbL,"한국 중화요리와 일본 중화요리를 접목시킨 또 다른 스타일의 중화요리로 케찹소스를 베이스로 한 광동식 탕수육과 일본식 사천식 마파두부가 유명하다.
"
1839,동화반점,중구,35.10579,129.02345,동화반점,동화반점,,중구 흑교로 75번길 3,,051-253-6661,,11:30-15:00 / 17:00-21:00,"유니짜장 ￦8,500
난자완스 ￦28,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419093503992_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419093503992_thumbL,"1950년 창업한 부산 최초의 중식전문점으로, 1987년 보수동으로 이전했으며 남구 남천동에도 매장을 가지고 있다. 
오랜 시간 꾸준히사랑받아 온 만큼 충분히 보증된 맛을 가지고 있다.
"
2348,유원,중구,35.10799,129.03767,유원,유원,,중구 충장대로9번길 29 보전빌딩 지하1층,,0507-1492-5659,,12:00-15:00 / 17:00-20:30,"오향장육 ￦38,000
깐소새우 ￦35,000
광동면 ￦11,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20250408114718754_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408114718754_thumbL,"번화가에서 조금 떨어진 곳 ‘코모도호텔’ 인근에 자리한 이 곳은 언뜻 큰 특징이 없어 보이나, 무려 50여 년간 주방을 지켜온 화교 출신의 오너셰프가 직접 요리하고 있는 중식당이다.
"
163,문스시,해운대구,35.17031,129.16615,문스시,문스시,,"부산 해운대구 좌동순환로 43
",,051-744-3316,,"평일: 11:30-15:00 / 17:30-22:00 (13:45 20:30 라스트오더)
주말 : 11:30-15:00 / 17:00-22:00 (13:45 20:30 라스트오더)
","오마카세 문 스시, 오마카세 스 스시
",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_thumbL,"TV프로그램을 통해 소개된 유명 쉐프가 운영하는 일식전문점으로, 기대를 충족하는 수준 있는 요리들과 깔끔하고 세련된 인테리어가 특징이다. 쉐프가 추천하는 음식으로 구성되는 오마카세 스시 코스가 특히 유명하다.

"
184,원조18번완당,서구,35.105713,129.02045,원조18번완당,원조18번완당,,서구 구덕로 238번길 6,,051-256-3391,,10:30-19:30,"발국수 ￦8,500
완당 ￦8,500",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090456625_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090456625_thumbL,"1947년부터 3대를 이어 운영 중인 유명한 식당으로 
1대 창업주가 일본에서 배워온 완당을 한국인의 입맛에 맞게 발전시켰다.
부산 음식문화의 한 부분을 장식한 유서 깊은 식당이다.
"
193,젠스시,해운대구,35.170803,129.17145,젠스시,젠스시,,해운대구 대천로42번길28-5,,051-746-7456,,18:00-22:00,"디너 1인 ￦150,000
콜키지 병당 ￦50,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240422090815838_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240422090815838_thumbL,"해운대의 유명 일식전문점으로, 명인 인증서를 받은 오너 쉐프가 운영하며, 주방 분위기가 엄격하고, 위생에 무척 신경을 쓰는 것으로도 유명하다. 열 가지의 초밥과 함께 미소시루, 달걀 찜, 튀김 등으로 구성 된 코스요리가 대표메뉴.
"
